"last_name, first_name",player_id,year,PA,xBA,xSLG,wOBA,xwOBA,xOBP,xISO,wOBAcon,xwOBAcon,Avg Swing Length,Sweet Spot%,Barrel%,Hard Hit%,Z-Swing%,O-Swing%,Whiff%,batted_ball,EV90,Z-O Swing%
"Perdomo, Geraldo",672695,2022,500,0.213,0.282,0.253,0.269,0.302,0.069,0.259,0.283,,28.1,2.0,25.1,59.6,21.5,19.2,342,98.86,38.1
"Robert Jr., Luis",673357,2022,401,0.272,0.449,0.324,0.327,0.307,0.178,0.383,0.387,,32.6,8.9,42.8,83.6,43.2,27.1,304,107.27,40.39999999999999
"Kim, Ha-Seong",673490,2022,582,0.25,0.368,0.313,0.309,0.324,0.119,0.335,0.33,,34.0,4.2,32.4,60.4,24.9,19.1,424,102.4,35.5
"Suzuki, Seiya",673548,2022,446,0.247,0.418,0.334,0.326,0.325,0.172,0.408,0.397,,36.9,11.0,41.3,56.8,21.3,22.8,290,104.80000000000001,35.5
"McCormick, Chas",676801,2022,407,0.232,0.414,0.326,0.325,0.321,0.183,0.395,0.393,,33.5,10.2,39.0,69.7,29.6,32.6,254,103.07,40.1
"Franco, Wander",677551,2022,344,0.285,0.408,0.323,0.331,0.34,0.123,0.329,0.338,,35.1,4.6,35.8,73.1,30.1,13.3,285,102.76,42.99999999999999
"Rodríguez, Julio",677594,2022,560,0.254,0.46,0.366,0.337,0.319,0.206,0.471,0.428,,32.7,13.1,50.7,70.5,33.5,30.4,367,109.0,37.0
"Thomas, Alek",677950,2022,411,0.238,0.335,0.272,0.277,0.285,0.097,0.303,0.31,,27.9,3.8,34.6,63.8,33.4,25.0,312,104.2,30.4
"Witt Jr., Bobby",677951,2022,632,0.252,0.427,0.311,0.313,0.294,0.174,0.374,0.377,,32.5,8.7,38.6,70.4,34.7,25.2,461,106.8,35.7
"Torkelson, Spencer",679529,2022,404,0.223,0.374,0.272,0.302,0.305,0.151,0.307,0.354,,35.4,8.4,41.8,67.0,24.7,25.6,263,105.5,42.3
"Kwan, Steven",680757,2022,638,0.268,0.341,0.341,0.312,0.348,0.073,0.335,0.298,,34.6,1.4,20.8,55.1,20.2,9.0,509,98.4,34.900000000000006
"Miller, Owen",680911,2022,472,0.246,0.341,0.287,0.291,0.307,0.095,0.32,0.325,,35.0,3.5,31.2,62.5,34.7,18.5,340,102.3,27.799999999999997
"Donovan, Brendan",680977,2022,468,0.266,0.365,0.349,0.339,0.381,0.099,0.346,0.332,,32.7,3.4,37.7,55.7,21.4,15.6,324,101.48,34.300000000000004
"Stott, Bryson",681082,2022,466,0.237,0.34,0.289,0.284,0.297,0.103,0.321,0.315,,29.4,4.4,36.8,60.8,28.2,17.2,340,101.7,32.599999999999994
"Greene, Riley",682985,2022,418,0.246,0.388,0.303,0.316,0.318,0.142,0.384,0.406,,32.0,9.3,45.2,64.3,27.6,25.6,259,107.74,36.699999999999996
"Vaughn, Andrew",683734,2022,555,0.255,0.415,0.327,0.319,0.311,0.16,0.366,0.357,,34.1,7.9,48.6,61.4,32.8,21.0,419,104.4,28.6
